Substance_id	Substance_name	Substance_category	Substance_subcategory	cas_no	id_drugbank	id_pharmgkb	id_kegg	id_ttd	id_pubchem	id_chemspider	id_npass	synonyms	Molecular_formula	inchikey	iupacname	Product_company	Therapeutic_class
PMDBD366	Fluoxetine	Therapeutic Substance; Herbal Substance	Approved Drug; Medicinal Herbal Compounds	54910-89-3	DB00472	PA449673	D00823	DAP000186	3386	3269	NPC328267	fluoxetine; 54910-89-3; Prozac; Pulvules; Fluoxetin; Portal; Eufor; Animex-On; Fluoxetina; Fluoxetina [Spanish]; Fluoxetinum; Fluoxetinum [INN-Latin]; Fluoxetina [INN-Spanish]; Reconcile; N-methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine; Fluoxetine [USAN:INN:BAN]; (+-)-N-Methyl-gamma-(4-(trifluoromethyl)phenoxy)benzenepropanamine; N-Methyl-3-(p-trifluoromethylphenoxy)-3-phenylpropylamine; (+-)-N-Methyl-3-phenyl-3-((alpha,alpha,alpha-trifluoro-p-tolyl)oxy)propylamine; CHEMBL41; dl-3-(p-Trifluoromethylphenoxy)-N-me	C17H18F3NO	RTHCYVBBDHJXIQ-UHFFFAOYSA-N	N-methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine	Eli Lilly	Antidepressants
PMDBD1201	Flurbiprofen	Therapeutic substance	Drug	5104-49-4	DB00712	PA449683	D00330	DAP000621	3394	3277	n.a.	flurbiprofen; 5104-49-4; Ansaid; Froben; Antadys; Flurofen; Cebutid; Anside; 2-(2-fluorobiphenyl-4-yl)propanoic acid; 3-Fluoro-4-phenylhydratropic acid; Flugalin; Flubiprofen; Ocufen; Flurbiprofene [INN-French]; Flurbiprofenum [INN-Latin]; Flurbiprofeno [INN-Spanish]; BTS 18322; 2-(3-fluoro-4-phenylphenyl)propanoic acid; FP 70; BTS-18322; 2-Fluoro-alpha-methyl-(1,1'-biphenyl)-4-acetic acid; C15H13FO2; U-27182; (+-)-2-Fluoro-alpha-methyl-4-biphenylacetic acid; Stayban; Zepolas; Adfeed; FLURBIPROPHEN; CCRIS 3708; U 27182; 2-(2-Fluorobiphe	C15H13FO2	SYTBZMRGLBWNTM-UHFFFAOYSA-N	2-(3-fluoro-4-phenylphenyl)propanoic acid	n.a.	n.a.
PMDBD1202	Flutamide	Therapeutic substance	Drug	13311-84-7	DB00499	PA449685	D00586	DAP000301	3397	3280	n.a.	flutamide; 13311-84-7; Niftolide; Eulexin; Niftholide; 2-Methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide; NFBA; niftolid; Drogenil; Flutamin; Sch 13521; Cebatrol, veterinary; Flutamida; Flutamidum; Sch-13521; 4'-Nitro-3'-trifluoromethylisobutyranilide; Ham's F-12 medium; Flutamidum [INN-Latin]; Flutamida [INN-Spanish]; 2-Methyl-N-(4-nitro-3-[trifluoromethyl]phenyl)propanamide; NSC 215876; Flutamide (Eulexin); CCRIS 7246; UNII-76W6J0943E; alpha,alpha,alpha-Trifluo	C11H11F3N2O3	MKXKFYHWDHIYRV-UHFFFAOYSA-N	2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide	n.a.	n.a.
PMDBD1205	Formoterol	Therapeutic substance	Drug	73573-87-2	DB00983	PA134687907	D07990	DAP000247	3410	3292	n.a.	formoterol; 73573-87-2; Foradil; Formoterolum [INN-Latin]; n-[2-hydroxy-5-(1-hydroxy-2-{[1-(4-methoxyphenyl)propan-2-yl]amino}ethyl)phenyl]formamide; FORMOTEROL FUMARATE; CHEBI:63082; 2'-hydroxy-5'-(1-hydroxy-2-((p-methoxy-alpha-methylphenethyl)amino)ethyl)formanilide; N-[2-hydroxy-5-(1-hydroxy-2-{[2-(4-methoxyphenyl)-1-methylethyl]amino}ethyl)phenyl]formamide; 2'-hydroxy-5'-{1-hydroxy-2-[(p-methoxy-alpha-methylphenethyl)amino]ethyl}formanilide; Formoterol (INN); Oxis (TN); Oxeze/Oxis; BD-40A; CGP-25827A; NCGC00181126-01	C19H24N2O4	BPZSYCZIITTYBL-UHFFFAOYSA-N	N-[2-hydroxy-5-[1-hydroxy-2-[1-(4-methoxyphenyl)propan-2-ylamino]ethyl]phenyl]formamide	n.a.	n.a.
PMDBD375	Furazolidone	Therapeutic Substance	Approved Drug	67-45-8	DB00614	PA164746760	D00830	DAP000993	3435	3317	n.a.	furazolidone; 67-45-8; Furazolidona; Furazolidonum; Nifurazolidonum; Furazolum; UNII-5J9CPU3RE0; Furazolidonum [INN-Latin]; Furazolidona [INN-Spanish]; 5J9CPU3RE0; CHEBI:5195; CCRIS 1540; HSDB 7036; Furox Aerosol Powder (Veterinary); NSC 6469; EINECS 200-653-3; NF-180; Prestwick_1067; AI3-50103; Spectrum_001098; Spectrum3_000436; Prestwick0_000808; Prestwick1_000808; Spectrum4_000559; Spectrum2_001015; Oprea1_494195; SCHEMBL64995; KBioGR_001257; KBioSS_001578; 2-Oxazolidinone, 3	C8H7N3O5	PLHJDBGFXBMTGZ-UHFFFAOYSA-N	3-[(5-nitrofuran-2-yl)methylideneamino]-1,3-oxazolidin-2-one	n.a.	n.a.
PMDBD1209	Furosemide	Therapeutic substance	Drug	54-31-9	DB00695	PA449719	D00331	DAP000043	3440	3322	n.a.	furosemide; 54-31-9; Frusemide; Lasix; Furosemid; Furanthril; Errolon; Fusid; Frusemin; Macasirool; Fursemide; Furantril; Furanthryl; Beronald; Prefemin; Lowpstron; Aisemide; Trofurit; Rosemide; Fuluvamide; Desdemin; Radonna; Fulsix; Seguril; Furesis; Lasilix; Transit; Katlex; Lasex; Salix; Urex; Frusetic; Promedes; Fursemid; Eutensin; Lazix; Frusid; Urosemide; Profemin; Furosedon; Furanturil; Frusemid; Frusenex; Rusyde; Dryptal; Impugan; Uresix; Aluzine; Yidoli; Uremide; Nicorol; Diural; Laxur; Disal; Urian; Hydro-rapid; Apo-Frusemide; Synephron; Spirofur; Selecto	C12H11ClN2O5S	ZZUFCTLCJUWOSV-UHFFFAOYSA-N	4-chloro-2-(furan-2-ylmethylamino)-5-sulfamoylbenzoic acid	n.a.	n.a.
PMDBD1210	Gabapentin	Therapeutic substance	Drug	60142-96-3	DB00996	PA449720	D00332	DNC000670	3446	3328	n.a.	gabapentin; 60142-96-3; Neurontin; 1-(Aminomethyl)cyclohexaneacetic acid; Gabapentine; Aclonium; 2-[1-(aminomethyl)cyclohexyl]acetic acid; Gabapetin; Gabapentinum; Fanatrex; Gabapentino; Serada; Gabapentino [Spanish]; [1-(AMINOMETHYL)CYCLOHEXYL]ACETIC ACID; gabapentina; Gabapentinum [INN-Latin]; Gabapentine [INN-French]; Gralise; Gabapentino [INN-Spanish]; Go 3450; Goe-3450; 2-(1-(aminomethyl)cyclohexyl)acetic acid; GOE 2450; CI-945; CI 945; gabapentin (Neurontin); DM-1796; (1-Aminomethyl-cycl	C9H17NO2	UGJMXCAKCUNAIE-UHFFFAOYSA-N	2-[1-(aminomethyl)cyclohexyl]acetic acid	n.a.	n.a.
PMDBD1212	Gemfibrozil	Therapeutic substance	Drug	25812-30-0	DB01241	PA449750	D00334	DAP000210	3463	3345	n.a.	gemfibrozil; 25812-30-0; 5-(2,5-Dimethylphenoxy)-2,2-dimethylpentanoic acid; Lopid; Decrelip; Jezil; Lipur; Bolutol; Apo-Gemfibrozil; Gemfibromax; Lipazil; Fibratol; Gemlipid; Gemfibril; Trialmin; Litarek; Hipolixan; Fibrocit; Cholespid; Ausgem; Pilder; CI-719; Gemfibrozilo; Gemfibrozilum; Renabrazin; Progemzal; Synbrozil; Lifibron; Ipolipid; Taborcil; Normolip; Lanaterom; Regulip; Reducel; Polyxit; Micolip; Tentroc; Lipira; Gemnpid; Elmogan; Clearol; Sinelip; Lipizyl; Lipigem; Innogen; Fetinor; Brozil; Gozid; Hidil; Gemd; WL-Gemfibrozil; Gevilon Uno; Gen-Fi	C15H22O3	HEMJJKBWTPKOJG-UHFFFAOYSA-N	5-(2,5-dimethylphenoxy)-2,2-dimethylpentanoic acid	n.a.	n.a.
PMDBD399	Gliclazide	Therapeutic Substance	Approved Drug	21187-98-4	DB01120	PA10892	D01599	DAP000522	3475	3356	n.a.	gliclazide; 21187-98-4; Glimicron; Gliclazidum [INN-Latin]; Gliclazida [INN-Spanish]; Diamicron; Nordialex; 1-(3-Azabicyclo(3.3.0)oct-3-yl)-3-(p-tolylsulfonyl)urea; CHEBI:31654; C15H21N3O3S; 1-(Hexahydrocyclopenta(c)pyrrol-2(1H)-yl)-3-(p-tolylsulfonyl)urea; S-852; S-1702; Gliclazida; 1-(3,3a,4,5,6,6a-hexahydro-1H-cyclopenta[c]pyrrol-2-yl)-3-(4-methylphenyl)sulfonylurea; N-(4-Methylbenzenesulfonyl)-N'-(3-azabicyclo(3.3.0)oct-3-yl)urea; Gliclazide-d4; N-(hexahydrocyclopenta[c]pyrrol-2(1H)-ylcarbamoyl)-4-methylbenzenesulfonami	C15H21N3O3S	BOVGTQGAOIONJV-UHFFFAOYSA-N	1-(3,3a,4,5,6,6a-hexahydro-1H-cyclopenta[c]pyrrol-2-yl)-3-(4-methylphenyl)sulfonylurea	n.a.	Hypoglycemic Agents
PMDBD1215	Glimepiride	Therapeutic substance	Drug	93479-97-1	DB00222	PA449761	D00593	DAP000132	3476	16740595	n.a.	glimepiride; 93479-97-1; Amaryl; Glimepirid; Amarel; Glimepirida; Glimepiridum; Endial; Hoe-490; Glimepride; cis-Glimepiride; Glimepiridum [Latin]; HOE 490; Glimepirida [Spanish]; UNII-24T6XIR2MZ; CCRIS 7083; CHEBI:5383; UNII-6KY687524K; 684286-46-2; 1-((p-(2-(3-Ethyl-4-methyl-2-oxo-3-pyrroline-1-carboxamido)ethyl)phenyl)sulfonyl)-3-(trans-4-methylcyclohexyl)urea; 4-ethyl-3-methyl-N-[2-[4-[(4-methylcyclohexyl)carbamoylsulfamoyl]phenyl]ethyl]-5-oxo-2H-pyrrole-1-carboxamide; BRN 5365754; 24T6XIR2MZ; 6KY687524K; NCGC00016960-03; Ronam	C24H34N4O5S	WIGIZIANZCJQQY-UHFFFAOYSA-N	4-ethyl-3-methyl-N-[2-[4-[(4-methylcyclohexyl)carbamoylsulfamoyl]phenyl]ethyl]-5-oxo-2H-pyrrole-1-carboxamide	n.a.	n.a.
PMDBD400	Glipizide	Therapeutic Substance	Approved Drug	29094-61-9	DB01067	PA449762	D00335	DAP000920	3478	3359	n.a.	glipizide; 29094-61-9; Glucotrol; Glydiazinamide; Melizide; Sucrazide; Glupizide; Glucozide; Glibenese; Napizide; Mindiab; Minidiab; Glupitel; Dipazide; Minodiab; Ozidia; Glucotrol XL; Glucolip; Glibetin; Aldiab; Minidab; Glipid; Glican; Digrin; Glidiab; Glyde; Gluco-Rite; Glide; Glipizida; Glipizidum; Glipizidum [INN-Latin]; Glipizida [INN-Spanish]; Metaglip; CP 28720; K 4024; K-4024; CP-28720; TK 1320; C21H27N5O4S; UNII-X7WDT95N5C; CP 28,720; Glipizide (Glucotrol); EINECS 249-427-6; BRN 0903495; CHEMBL1073; X7WDT95N5C; 1-Cyclohexyl-3-((p-(2-(5-methyl	C21H27N5O4S	ZJJXGWJIGJFDTL-UHFFFAOYSA-N	N-[2-[4-(cyclohexylcarbamoylsulfamoyl)phenyl]ethyl]-5-methylpyrazine-2-carboxamide	Pfizer Pharmaceuticals	Hypoglycemic Agents
PMDBD1217	Glyburide	Therapeutic substance	Drug	10238-21-8	DB01016	PA449782	D00336	DAP000037	3488	3368	n.a.	Glibenclamide; glyburide; 10238-21-8; Glybenclamide; Micronase; Diabeta; Glynase; Daonil; Euglucon; Maninil; Semi-daonil; Apo-Glibenclamide; Euglucon 5; Neogluconin; Bastiverit; Azuglucon; Orabetic; Euglykon; Euglucan; Renabetic; Prodiabet; Glucolon; Duraglucon; Yuglucon; Glibenil; Betanase; Benclamin; Tiabet; Libanil; Glibil; Glibens; Dibelet; Glimide; Gilemal; Suraben; Humedia; Glimel; Glybenzcyclamide; Melix; Adiab; Pira; Med-Glionil; Normoglucon; Hexaglucon; Glucohexal; Glibenbeta; Glucoremed; Praeciglucon; Lisaglucon; Gewaglucon; Lederglib; Glucobene	C23H28ClN3O5S	ZNNLBTZKUZBEKO-UHFFFAOYSA-N	5-chloro-N-[2-[4-(cyclohexylcarbamoylsulfamoyl)phenyl]ethyl]-2-methoxybenzamide	n.a.	n.a.
PMDBD1222	Guanfacine	Therapeutic substance	Drug	29110-47-2	DB01018	PA449825	D08031	DAP000900	3519	3399	n.a.	GUANFACINE; 29110-47-2; Guanfacinum [INN-Latin]; Guanfacina [INN-Spanish]; Guanfacine [INN:BAN]; UNII-30OMY4G3MK; N-(diaminomethylidene)-2-(2,6-dichlorophenyl)acetamide; EINECS 249-442-8; 30OMY4G3MK; N-amidino-2-(2,6-dichlorophenyl)acetamide; CHEBI:5558; N-carbamimidoyl-2-(2,6-dichlorophenyl)acetamide; SPD 503; C9H9Cl2N3O; Guanfacinum; Guanfacina; Guanfacine Monohydrochloride; NCGC00015469-05; Lon798; Guanfacine (INN); Estulic (TN); Tenex (Salt/Mix); Estulic (Salt/Mix)	C9H9Cl2N3O	INJOMKTZOLKMBF-UHFFFAOYSA-N	N-(diaminomethylidene)-2-(2,6-dichlorophenyl)acetamide	n.a.	n.a.
PMDBD418	Haloperidol	Therapeutic Substance	Approved Drug	52-86-8	DB00502	PA449841	D00136	DAP000313	3559	3438	n.a.	haloperidol; 52-86-8; Haldol; Serenace; Aloperidin; Aloperidol; Brotopon; Eukystol; Einalon S; Ulcolind; Serenase; Uliolind; Serenelfi; Aloperidolo; Halojust; Vesalium; Halopoidol; Galoperidol; Pernox; Mixidol; Halopal; Sernel; Sernas; Linton; Dozic; Aldo; Lealgin compositum; Keselan; Peluces; Bioperidolo; Haldol Solutab; McN-JR-1625; Haloperidolum; Aloperidon; Fortunan; 4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one; Aloperidolo [DCIT]; Aloperidolo [Italian]; Haloperidolum [INN-Latin]; NSC 170973; R-1625; R 1625; C21H	C21H23ClFNO2	LNEPOXFFQSENCJ-UHFFFAOYSA-N	4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one	Janssen Pharmaceutica	Antipsychotic Agents
PMDBD419	Haloprogin	Therapeutic Substance	Approved Drug	777-11-7	DB00793	PA164768737	D00339	DAP001332	3561	3440	n.a.	haloprogin; Mycanden; 777-11-7; Halotex; Mycilan; Polik; M-1028 (Meiji); Haloproginum [INN-Latin]; Haloprogine [INN-French]; Haloprogina [INN-Spanish]; M 1028; C9H4Cl3IO; 2,4,5-Trichlorophenyl iodopropargyl ether; UNII-AIU7053OWL; 3-Iodo-2-propynyl 2,4,5-trichlorophenyl ether; Ether, 3-iodo-2-propynyl 2,4,5-trichlorophenyl; EINECS 212-286-6; Haloprogine; 2,4,5-Trichlorophenyl-gamma-iodopropargyl ether; 2,4,5-Trichlorophenyl gamma-iodopropargil ether; NSC 100071; (3-Iod-2-propinyl)-(2,4,5-trichlorphenyl)ether; BRN 1976771; CHEMBL1	C9H4Cl3IO	CTETYYAZBPJBHE-UHFFFAOYSA-N	1,2,4-trichloro-5-(3-iodoprop-2-ynoxy)benzene	n.a.	Antifungal Agents
PMDBD423	Hexachlorophene	Therapeutic Substance	Approved Drug	70-30-4	DB00756	PA449871	D00859	DAP001050	3598	3472	n.a.	hexachlorophene; 70-30-4; Hexachlorophen; Hexachlorofen; Nabac; Almederm; Fostril; Exofene; pHisoHex; Tersaseptic; Steraskin; Hexophene; Gamophene; Phisodan; Dermadex; Septisol; Distodin; Hexafen; Gamophen; Surofene; Septofen; Hexabalm; Acigena; Turgex; Steral; Hexide; Germa-Medica; Surgi-Cen; Surgi-Cin; Cotofilm; Ritosept; Hexosan; Fomac; Fesia-sin; Ster-zac; Soy-dome; Neosept V; G-Eleven; Hexachlorophane; Hexascrub; Bilevon; Phiso-Scrub; Septi-Soft; TRICHLOROPHENE; Hexa-Germ; 6,6'-Methylenebis(2,4,5-trichlorophenol); Hexaclorofeno; Armohex; Hexachlorop	C13H6Cl6O2	ACGUYXCXAPNIKK-UHFFFAOYSA-N	3,4,6-trichloro-2-[(2,3,5-trichloro-6-hydroxyphenyl)methyl]phenol	n.a.	Antiinfective Agents
PMDBD425	Hexetidine	Therapeutic Substance	Approved Drug	141-94-6	DB08958	n.a.	D07068	n.a.	3607	3481	n.a.	hexetidine; 141-94-6; Oraldene; Hexoral; Glypesin; Hextril; Elsix; Collu hextril; Triocil; Triscol; Sterisil; Sterilate; Duranil Aerosol; Hexetidinum; Collu-Hextril; Steri/Sol; Drossadin; Paradenyl; Oraseptic; Steri/Sol (VAN); Caswell No. 033BB; Hexetidinum [INN-Latin]; Hexetidina [INN-Spanish]; NSC-17764; NSC 17764; 1,3-bis(2-ethylhexyl)-5-methyl-1,3-diazinan-5-amine; UNII-852A84Y8LS; C21H45N3; 5-Amino-1,3-bis(2-ethylhexyl)hexahydro-5-methylpyrimidine; EINECS 205-513-5; MLS0022	C21H45N3	DTOUUUZOYKYHEP-UHFFFAOYSA-N	1,3-bis(2-ethylhexyl)-5-methyl-1,3-diazinan-5-amine	n.a.	n.a.
PMDBD1225	Hydralazine	Therapeutic substance	Drug	86-54-4	DB01275	PA449894	D08044	DAP000728	3637	3511	n.a.	hydralazine; 1-Hydrazinophthalazine; Hydralazin; 1-Hydrazinylphthalazine; Hypophthalin; 86-54-4; Hydrazinophthalazine; Apresoline; Apressin; Apresolin; Idralazina; 6-Hydralazine; 1(2H)-Phthalazinone, hydrazone; Hydrallazine; Hidralazina; Aprezolin; Hidralazin; Hipoftalin; 1-Phthalazinylhydrazine; phthalazin-1-ylhydrazine; Hydralazinum; Hydrazone 1(2H)-phthalazinone; Ciba 5968; 59275-69-3; Apressin (pharmaceutical); (E)-1-Hydrazono-1,2-dihydrophthalazine; Idralazina [DCIT]; Idralazina [Italian]; Hidralazina [Spanish]; Hydralazine [INN:B	C8H8N4	RPTUSVTUFVMDQK-UHFFFAOYSA-N	phthalazin-1-ylhydrazine	n.a.	n.a.
PMDBD1226	Hydrochlorothiazide	Therapeutic substance	Drug	58-93-5	DB00999	PA449899	D00340	DAP000750	3639	3513	n.a.	hydrochlorothiazide; 58-93-5; HCTZ; Hypothiazide; Esidrix; Oretic; Hydrodiuretic; Servithiazid; Hydrosaluric; Hidrotiazida; Dichlotiazid; Hydrochlorthiazide; Hydrochlorothiazid; Vetidrex; Idrotiazide; Thiuretic; Maschitt; Aquarills; Newtolide; Disalunil; Diclotride; Dichlotride; Megadiuril; Hypothiazid; Aquarius; Nefrix; Hidril; Drenol; Esidrex; Hydril; Chlorosulthiadil; Hidrochlortiazid; Hydro-Diuril; Hydro-Aquil; Jen-Diril; Dihydrochlorothiazide; HydroDIURIL; Dihydrochlorothiazid; Dihydrochlorothiazidum; Moduretic; Apresazide; Urodiazin; Neoflume	C7H8ClN3O4S2	JZUFKLXOESDKRF-UHFFFAOYSA-N	6-chloro-1,1-dioxo-3,4-dihydro-2H-1lambda6,2,4-benzothiadiazine-7-sulfonamide	n.a.	n.a.
PMDBD1228	Hydroflumethiazide	Therapeutic substance	Drug	135-09-1	DB00774	PA164752557	D00654	DAP000747	3647	3521	n.a.	hydroflumethiazide; 135-09-1; Glomerulin; Diuredemina; Hidroflumetiazid; Hydroflumethizide; Hidroalogen; Flutizide; Diurometon; Spandiuril; Robezon; Saluron; Enjit; Trifluoromethylhydrothiazide; Leodrine; Vergonil; Hydrenox; Diucardin; Bristurin; Rodiuran; Olmagran; Elodrine; Finuret; Bristab; Sisuril; Rontyl; Hydol; Trifluoromethylhydrazide; NaClex; Di-ademil; Dihydroflumethazide; Dihydroflumethiazide; Hydroflumethazide; Elodrin; Metforylthiadiazin; Methforylthiazidine; Metflorylthiazidine; Rivosil; Idroflumetiazide; Hidroflumetiazida; Metforylt	C8H8F3N3O4S2	DMDGGSIALPNSEE-UHFFFAOYSA-N	1,1-dioxo-6-(trifluoromethyl)-3,4-dihydro-2H-1lambda6,2,4-benzothiadiazine-7-sulfonamide	n.a.	n.a.
PMDBD1231	Ibuprofen	Therapeutic substance	Drug	15687-27-1	DB01050	PA449957	D00126	DAP000780	3672	3544	n.a.	ibuprofen; 15687-27-1; 2-(4-Isobutylphenyl)propanoic acid; Brufen; Motrin; Advil; Nurofen; Nuprin; Liptan; Dolgit; Ibuprocin; Buburone; Ibumetin; Anflagen; Medipren; Butylenin; Lamidon; Ebufac; Mynosedin; Haltran; Epobron; Trendar; Roidenin; Apsifen; Nobfen; Bluton; Rufen; PediaProfen; Andran; Nobgen; Adran; 2-[4-(2-methylpropyl)phenyl]propanoic acid; Nobfelon; Tabalon; Inabrin; Suspren; Rebugen; Pantrop; Brufort; (RS)-Ibuprofen; Urem; Anco; Ibu-slo; Brufanic; Ibuprohm; Napacetin; Ibufen; Ibren; 4-Isobutylhydratropic acid; p-Isobutylhydratropic acid; Proar	C13H18O2	HEFNNWSXXWATRW-UHFFFAOYSA-N	2-[4-(2-methylpropyl)phenyl]propanoic acid	n.a.	n.a.
PMDBD1235	Imipramine	Therapeutic substance	Drug	50-49-7	DB00458	PA449969	D08070	DAP001154	3696	3568	n.a.	imipramine; Melipramine; Imidobenzyle; 50-49-7; Antideprin; Melipramin; Berkomine; Dimipressin; Tofranil; Intalpram; Nelipramin; Timolet; Dynaprin; Janimine; Irmin; Dpid; Dyna-zina; Impramine; Promiben; Iramil; Imiprin; Censtin; Censtim; Imipramina; Declomipramine; Imipraminum; Imipramin; Imizin; Tofranil, base; 3-(10,11-dihydro-5H-dibenzo[b,f]azepin-5-yl)-N,N-dimethylpropan-1-amine; Psychoforin; Imavate; Imizine; Eupramin; Surplix; Imipramina [Italian]; Imipramine [INN:BAN]; Imipraminum [INN-Latin]; Imipramina [INN-Spanish]; N-(gamma-Dimethylam	C19H24N2	BCGWQEUPMDMJNV-UHFFFAOYSA-N	3-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)-N,N-dimethylpropan-1-amine	n.a.	n.a.
PMDBD1236	Indapamide	Therapeutic substance	Drug	26807-65-8	DB00808	PA449975	D00345	DAP000498	3702	3574	n.a.	indapamide; 26807-65-8; Noranat; Tertensif; Veroxil; Lozol; Indaflex; Indamol; Fludex; Arifon; Natrilix; Pressurai; Tandix; Ipamix; Bajaten; Indapamida; Metindamide; Cormil; Damide; Indapamidum; Indapamidum [INN-Latin]; Indapamida [INN-Spanish]; SE-1520; 1-(4-Chloro-3-sulfamoylbenzamido)-2-methylindoline; SE 1520; RHC 2555; USV 2555; Indapamide (Lozol); S-1520; 4-chloro-N-(2-methyl-2,3-dihydroindol-1-yl)-3-sulfamoylbenzamide; 4-chloro-N-(2-methyl-2,3-dihydro-1H-indol-1-yl)-3-sulfamoylbenzamide; 4-Chloro-N-(2-methyl-1-indolinyl)-3-sulfamo	C16H16ClN3O3S	NDDAHWYSQHTHNT-UHFFFAOYSA-N	4-chloro-N-(2-methyl-2,3-dihydroindol-1-yl)-3-sulfamoylbenzamide	n.a.	n.a.
PMDBD446	Indomethacin	Therapeutic Substance	Approved Drug	53-86-1	DB00328	PA449982	D00141	DAP000617	3715	3584	n.a.	indomethacin; 53-86-1; indometacin; Indocin; Indometacine; Indomethacine; Indocid; Metindol; Amuno; Indomethazine; Imbrilon; Tannex; Indomethacinum; Metartril; Infrocin; Indoptic; Artrivia; Inflazon; Indomecol; Mikametan; Methazine; Indoptol; Confortid; Artracin; Sadoreum; Reumacide; Idomethine; Artrinovo; Indomed; Metacen; Indomee; Inacid; Lausit; Indacin; Dolovin; Mobilan; Indo-tablinen; Indo-rectolmin; Inteban sp; Indometicina; Indometacyna; Mezolin; Indo-Lemmon; Indocin Sr; Indometa	C19H16ClNO4	CGIGDMFJXJATDK-UHFFFAOYSA-N	2-[1-(4-chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]acetic acid	Recordati Rare Diseases Inc	Antiinflammatory Agents
PMDBD450	Iohexol	Therapeutic Substance	Approved Drug	66108-95-0	DB01362	PA450061	D01817	n.a.	3730	3599	n.a.	iohexol; 66108-95-0; Nycodenz; Omnipaque; Exypaque; Iohexolum; Omnipaque 240; Omnipaque 70; Omnipaque 140; Omnipaque 350; Omnipaque 300; Omnipaque 210; Omnipaque 180; Iohexolum [INN-Latin]; UNII-4419T9MX03; CHEBI:31709; EINECS 266-164-2; WIN 39424; BRN 2406632; N,N'-Bis(2,3-dihydroxypropyl)-5-(N-(2,3-dihydroxypropyl)acetamido)-2,4,6-triiodoisophthalamide; 5-[acetyl(2,3-dihydroxypropyl)amino]-1-N,3-N-bis(2,3-dihydroxypropyl)-2,4,6-triiodobenzene-1,3-dicarboxamide; WIN-39424; 4419T9MX03; NCGC00166000-01; DSSTox_CID_3157; 5-(N-2,3-Dih	C19H26I3N3O9	NTHXOOBQLCIOLC-UHFFFAOYSA-N	5-[acetyl(2,3-dihydroxypropyl)amino]-1-N,3-N-bis(2,3-dihydroxypropyl)-2,4,6-triiodobenzene-1,3-dicarboxamide	n.a.	n.a.
PMDBD451	Iopanoic acid	Therapeutic Substance	Approved Drug	96-83-3	DB08946	n.a.	n.a.	n.a.	3735	3604	n.a.	IOPANOIC ACID; Iodopanoic acid; 96-83-3; Telepaque; Cholevid; Polognost; Iopagnost; Iopanoicum; iopanic acid; Jopanoic acid; Copanoic; Colepax; Cistobil; Jopagnost; Choladine; Bilijodon; 2-(3-Amino-2,4,6-triiodobenzyl)butanoic acid; 2-(3-Amino-2,4,6-triiodobenzyl)butyric acid; Teletrast; Acidum iopanoicum; Iodopanic acid; NSC 41706; Acide iopanoique [French]; Acidum iopanoicum [INN-Latin]; Acido iopanoico [INN-Spanish]; Acide iopanoique [INN-French]; Acido iopanoico [Latin,Spanish]; HSDB 3345; 2-[(3-amino-2,4,6-triiodophenyl)methyl]bu	C11H12I3NO2	OIRFJRBSRORBCM-UHFFFAOYSA-N	2-[(3-amino-2,4,6-triiodophenyl)methyl]butanoic acid	n.a.	n.a.
PMDBD454	Irbesartan	Therapeutic Substance	Approved Drug	138402-11-6	DB01029	PA450084	D00523	DAP000364	3749	3618	n.a.	irbesartan; 138402-11-6; Aprovel; Avapro; Karvea; SR-47436; BMS-186295; BMS 186295; SR 47436; UNII-J0E2756Z7N; CHEMBL1513; 8-butyl-7-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]-7,9-diazaspiro[4.4]non-8-en-6-one; 2-butyl-3-{[2'-(1H-tetrazol-5-yl)biphenyl-4-yl]methyl}-1,3-diazaspiro[4.4]non-1-en-4-one; CHEBI:5959; C25H28N6O; J0E2756Z7N; NCGC00095122-01; AK-57149; DSSTox_CID_3169; DSSTox_RID_76900; 2-Butyl-3-[2'-(1H-tetrazol-5-yl)	C25H28N6O	YOSHYTLCDANDAN-UHFFFAOYSA-N	2-butyl-3-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]-1,3-diazaspiro[4.4]non-1-en-4-one	Bristol-Myers Squibb	Antihypertensive Agents
